"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","run.21","run.22","run.23","run.24","run.25","run.26","run.27","run.28","run.29","run.30","algid"
"1",5,1,1,500,0.000131,0.000312,0.000207,0.000519,0.000193,2.1e-05,0.001029,0.00018,0.000734,0.000294,0.000102,7.8e-05,0.000277,5.6e-05,0.000156,0.000149,2.5e-05,3.2e-05,2.8e-05,0.000141,0,2e-06,0,0,0,3e-06,0,0,0,1e-06,"conf_1"
"2",5,1,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"3",5,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"4",5,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"5",5,1,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"6",30,1,1,500,11.670664,12.663601,16.626367,14.539758,19.300215,12.693242,17.310205,18.321497,18.400861,22.01177,4.854085,5.654558,6.728691,5.171665,3.177058,3.91077,2.847663,4.485152,4.302111,5.560013,10.116672,7.049791,7.652251,9.309153,8.343884,11.824129,7.521753,7.798139,7.63795,9.779942,"conf_1"
"7",30,1,1,2000,0.025821,0.040188,0.062276,0.03079,0.086047,0.029834,0.038152,0.050972,0.034904,0.112124,3.2e-05,2.5e-05,4.1e-05,5.7e-05,3.4e-05,3.4e-05,4.2e-05,4.4e-05,3.1e-05,4.8e-05,0.003772,0.004036,0.00324,0.003062,0.001159,0.004032,0.001804,0.001744,0.003027,0.001166,"conf_1"
"8",30,1,1,5000,0,0,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"9",30,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"10",30,1,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"11",5,10,1,500,111.246296,34.53571,1625.084182,46.02341,278.96501,163.519725,80.507116,4084.202719,293.497087,430.811083,4820.807221,3858.235487,591.843445,156.344591,715.737416,133.88122,6991.299262,230.025639,842.437715,3979.67065,1524.072988,187.652128,390.133985,81.017842,512.557043,524.095945,115.438485,203.778433,231.931745,13.972753,"conf_1"
"12",5,10,1,2000,1.826717,0.000101,0.052105,0.000433,2.8e-05,4.5e-05,9.1e-05,3.068492,1.8e-05,0.001528,3e-06,0.058448,0.15827,3.507203,0.001345,0.039562,0.007111,0.035469,7.214654,0.001507,0,1e-06,0.007321,1.7e-05,7.3e-05,0,6e-06,1.8e-05,0,0,"conf_1"
"13",5,10,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"14",5,10,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"15",5,10,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"16",30,10,1,500,412953.102778,488606.457428,462702.049076,568064.617838,274586.151101,253888.537007,202349.137453,180288.945769,251729.196721,316030.590178,209731.515094,59533.578455,135316.386971,100300.533193,259619.443201,290128.565679,187894.353517,225052.710876,215824.8879,149921.264676,175781.101783,200010.601337,158396.080441,103414.400202,119096.321394,139322.529549,247106.67856,204865.333485,221916.653069,125425.471325,"conf_1"
"17",30,10,1,2000,12706.563852,67921.665612,27745.373994,29804.85597,38067.943991,19018.84197,19478.918355,42173.192583,19732.65989,33054.115354,16715.113758,15784.566859,12032.736215,20512.845316,15586.841526,30813.089049,17215.315063,29066.665576,22663.31063,8604.262458,9505.101241,22484.947356,14114.951473,12726.349714,16474.08814,12519.725224,15810.807976,22775.632783,8180.839564,11625.679749,"conf_1"
"18",30,10,1,5000,986.255078,7589.289026,6581.051728,4353.138924,6287.993043,3429.007011,4064.960111,3928.670806,5517.938633,2349.928321,2572.156461,2896.754537,2112.34728,3798.42423,2328.469646,4541.401581,3189.632241,2522.454917,6212.505433,1563.688577,2243.637176,3437.231759,2693.307522,3098.344375,2708.348055,1996.735934,3431.01863,3344.62815,2313.100639,3635.141247,"conf_1"
"19",30,10,1,10000,494.397961,918.428969,1461.654084,293.32692,615.096318,1196.792792,902.712356,579.787424,1283.579834,598.623936,641.853258,262.600427,320.529055,959.791287,280.118566,882.801605,480.153689,602.407681,2414.162711,476.107201,442.828649,375.224807,952.39937,486.270254,790.647404,418.652021,721.555666,733.209605,228.316985,548.704458,"conf_1"
"20",30,10,1,50000,0,6.9e-05,0.000128,2e-06,2e-05,0.049467,0,0.018315,4.8e-05,1e-06,0,0,0,0,0,0,0,0,88.149441,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"21",5,11,1,500,26.035978,12.008082,15.422982,7.523683,29.548653,11.76317,24.937129,19.336213,15.117652,15.844966,16.799786,40.53196,58.378336,16.816216,12.454818,15.615585,12.329305,4.888292,5.328893,32.285599,31.982734,42.0464,7.288378,19.247244,23.420428,29.381651,10.641324,22.054726,12.802082,3.085259,"conf_1"
"22",5,11,1,2000,0.003369,0.025704,1.819322,1.399747,2.455653,0.68512,0.008193,0.102273,0.467183,0.11383,0.750072,7.563709,1.029357,0.450256,0.254098,3.313214,0.022683,0.006302,1.184948,2.019337,0.110777,6.682166,0.012815,0.015504,0.001012,0.538462,0.000283,0.421661,0.080329,0.188298,"conf_1"
"23",5,11,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"24",5,11,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"25",5,11,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"26",30,11,1,500,145.521066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"27",30,11,1,2000,143.177117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"28",30,11,1,5000,81.012813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"29",30,11,1,10000,27.785767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"30",30,11,1,50000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"31",5,12,1,500,132.246173,183.533287,1656.376682,229.329083,56.536772,170.816819,1487.81542,69.61924,213.798625,109.912172,0.111429,1.29467,0.694086,0.772571,0.27087,9.752507,5.792563,2.821205,9.985676,0.503868,220.578303,209.486768,111.994451,57.063644,82.790445,63.407132,9.024764,32.180164,27.301218,36.737904,"conf_1"
"32",5,12,1,2000,0.263956,3.19743,7.285802,2.233504,0.566235,2.784681,1.937231,4.507121,0.280498,0.001204,0.001329,0.106973,0.000575,0.02293,0.00217,2.882777,0.81024,0.202808,0.000398,0.006289,0.308578,0.03489,2.03808,0.000296,0.667268,0.005722,0.002976,0.110552,0.557668,1.5e-05,"conf_1"
"33",5,12,1,5000,0,0,0.00183,0,0,0,7e-06,0.000293,0,0,0,0,0,0,0,0.000252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"34",5,12,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"35",5,12,1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conf_1"
"36",30,12,1,500,9729056.504056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"37",30,12,1,2000,26851.179748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"38",30,12,1,5000,2.878281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"39",30,12,1,10000,2.645946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"40",30,12,1,50000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
"41",5,13,1,500,7.547322,31.578578,24.31378,7.881899,2.031211,4.267615,5.609033,1.326456,6.19172,7.130946,7.590674,7.819665,14.318249,6.024481,0.823587,1.099823,10.197017,16.4027,21.611897,17.893986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_1"
