"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"1",5,1,1,500,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"2",5,1,1,2000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"3",5,1,1,5000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"4",5,1,1,10000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"5",5,1,1,50000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"6",30,1,1,500,6.823385,3.474965,3.775072,3.623316,4.365754,5.762967,10.410314,5.796221,3.692183,6.110851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"7",30,1,1,2000,0.000153,8.4e-05,0.000417,0.000169,0.000221,0.000276,0.000329,0.000225,0.000188,0.000116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"8",30,1,1,5000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"9",30,1,1,10000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"10",30,1,1,50000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"11",5,10,1,500,36.296692,235.40924,29.027224,114.458688,128.165218,1070.625841,195.743775,1747.607357,316.000884,580.764783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"12",5,10,1,2000,0,1e-06,9e-06,0,0,0.000105,0,0,3.2e-05,7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"13",5,10,1,5000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"14",5,10,1,10000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"15",5,10,1,50000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"16",30,10,1,500,217974.526054,271645.240508,229749.250055,483716.919885,263431.749091,134738.96043,168492.595664,189839.691283,243174.939676,291944.2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"17",30,10,1,2000,22109.516319,23116.868868,13964.085955,33818.890447,8362.972338,21111.224203,20259.630657,15492.04094,14280.590985,23065.851571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
