"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","algid"
"1",5,1,1,500,0,0,0,0,0,0,0,0,0,0,"conf_6"
"2",5,1,1,2000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"3",5,1,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"4",5,1,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"5",5,1,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"6",30,1,1,500,5.528668,4.808026,4.881968,5.637521,5.220356,5.69988,5.870206,7.736942,6.853932,6.521864,"conf_6"
"7",30,1,1,2000,0.000301,0.000294,0.000206,0.00037,0.000287,0.000207,0.00012,0.000258,0.00025,0.000305,"conf_6"
"8",30,1,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"9",30,1,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"10",30,1,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"11",30,10,1,500,193440.358483,197030.54979,365060.025121,133430.045408,202375.32643,208938.23576,432866.96871,180285.083015,151103.581003,250146.180846,"conf_6"
"12",30,10,1,2000,14450.485575,19835.644138,18165.235067,25511.823481,11164.937026,13301.925396,12586.707789,25542.356388,17345.741752,16737.529649,"conf_6"
"13",30,10,1,5000,3175.880349,3454.156722,5138.74766,4011.703687,4666.598785,3308.4203,2599.833702,5766.414511,3328.874465,4477.217697,"conf_6"
"14",30,10,1,10000,916.361707,832.424574,601.274589,463.343819,2075.551401,899.576756,619.928553,808.820861,655.109793,991.039655,"conf_6"
"15",30,10,1,50000,0,0,0,0,0,0,0,0,0.001814,0,"conf_6"
"16",5,10,1,500,239.575925,238.401048,17.527321,17.889804,1220.899012,164.924337,200.751089,714.939386,39.194557,1670.039289,"conf_6"
"17",5,10,1,2000,0,0,0,0,0.000171,0,0,0.271617,0,0,"conf_6"
"18",5,10,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"19",5,10,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"20",5,10,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"21",30,11,1,500,154.006463,136.422223,179.625205,151.540129,170.074642,162.629469,170.047455,172.073298,164.732239,153.171205,"conf_6"
"22",30,11,1,2000,151.093767,134.835152,176.69659,146.776554,168.457458,158.186449,167.152363,168.712553,161.994618,149.386303,"conf_6"
"23",30,11,1,5000,95.230219,70.413074,89.786095,97.975867,81.561298,66.30525,95.878164,96.89186,58.355634,91.883099,"conf_6"
"24",30,11,1,10000,25.767617,17.010961,25.648686,40.208604,17.139226,17.344229,30.957777,29.462634,13.274978,24.673571,"conf_6"
"25",30,11,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"26",5,11,1,500,15.663219,19.331858,42.783248,6.862462,37.637501,19.888589,11.902501,12.259235,13.474079,31.499601,"conf_6"
"27",5,11,1,2000,0.010431,0.00559,0.459515,0.325595,2.681382,0.504891,0.031049,0.184784,1.666752,0.222161,"conf_6"
"28",5,11,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"29",5,11,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"30",5,11,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"31",5,12,1,500,3.638596,0.013324,0.651386,0.026581,1.412838,0.247719,4.236571,0.040699,16.401692,15.311362,"conf_6"
"32",5,12,1,2000,0.778535,1e-06,0.002741,0,0.084082,0.001087,0.213438,8.9e-05,3.736229,2.735223,"conf_6"
"33",5,12,1,5000,0,0,0,0,0,0,0,0,0,9.5e-05,"conf_6"
"34",5,12,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"35",5,12,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"36",30,12,1,500,4412386.47399,4270640.758931,2956609.658559,5556915.998089,4321992.267961,5673523.09461,3864496.495495,4682782.421293,4027700.248489,4067638.796812,"conf_6"
"37",30,12,1,2000,131.979476,364.305703,189.069363,299.550062,152.519707,401.485641,202.065865,315.233537,302.778177,237.921883,"conf_6"
"38",30,12,1,5000,2.232915,14.567402,15.522998,18.496922,8.403284,3.352906,5.018979,8.563307,30.514881,2.277804,"conf_6"
"39",30,12,1,10000,0.948575,7.56177,8.278897,9.886199,4.000576,1.77557,2.544925,4.387303,15.843247,1.06458,"conf_6"
"40",30,12,1,50000,0,0,0,0,0,0,0,0,6e-06,0,"conf_6"
"41",5,13,1,500,16.516398,0.26811,23.256966,17.15895,5.857857,23.412387,1.94774,7.35074,3.666521,0.106107,"conf_6"
"42",5,13,1,2000,1e-05,0.191975,0.00097,0.000206,0.001276,6e-06,4.2e-05,1.365292,0.001253,0.004026,"conf_6"
"43",5,13,1,5000,1e-05,3e-06,0,3e-06,0,0,0,0,0,0.004026,"conf_6"
"44",5,13,1,10000,1e-05,0,0,3e-06,0,0,0,0,0,0.004026,"conf_6"
"45",5,13,1,50000,1e-05,0,0,3e-06,0,0,0,0,0,0.004026,"conf_6"
"46",30,13,1,500,736.082481,815.60087,760.577176,642.471782,503.870555,627.271881,684.574935,690.457137,628.021826,644.473998,"conf_6"
"47",30,13,1,2000,33.694232,16.641293,23.012626,12.445876,10.016424,11.621586,22.028547,12.865045,12.871572,8.774864,"conf_6"
"48",30,13,1,5000,22.92261,0.016589,8.520238,0.018482,0.078763,1.160645,15.503886,2.170393,1.882417,0.137624,"conf_6"
"49",30,13,1,10000,22.918916,0.012887,8.516965,0.014577,0.077618,1.158064,15.502948,2.168785,1.879519,0.13593,"conf_6"
"50",30,13,1,50000,0.006719,0.012887,8.516965,0.014577,0.077618,1.158064,15.502948,2.168785,1.879519,0.13593,"conf_6"
"51",5,14,1,500,0.000884,0.001566,0.000987,0.000266,0.00045,0.000257,0.000582,0.000727,0.001407,0.000166,"conf_6"
"52",5,14,1,2000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"53",5,14,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"54",5,14,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"55",5,14,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"56",30,14,1,500,4.723246,3.173358,6.731661,3.320628,3.990948,3.677809,2.682589,4.775114,5.968303,4.979976,"conf_6"
"57",30,14,1,2000,0.022847,0.010669,0.013786,0.012573,0.014088,0.017631,0.012094,0.012465,0.013931,0.025904,"conf_6"
"58",30,14,1,5000,0.001152,0.000851,0.000618,0.001027,0.000919,0.000865,0.000761,0.000809,0.000998,0.000825,"conf_6"
"59",30,14,1,10000,8.5e-05,9.6e-05,6.8e-05,0.000103,8.6e-05,8.8e-05,9.7e-05,8.3e-05,0.000115,6.7e-05,"conf_6"
"60",30,14,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"61",5,15,1,500,2.986995,16.914301,9.962022,17.909228,11.941427,38.354297,31.356318,9.950778,22.757213,8.966615,"conf_6"
"62",5,15,1,2000,2.984877,16.914264,9.94956,17.909223,11.939494,38.354297,11.958813,9.94958,22.584024,8.954621,"conf_6"
"63",5,15,1,5000,2.984877,16.914264,9.94956,17.909223,11.939494,21.888993,11.939494,9.94958,3.979836,8.954621,"conf_6"
"64",5,15,1,10000,2.984877,16.914264,9.94956,17.909223,11.939494,21.888993,11.939494,9.94958,3.979836,8.954621,"conf_6"
"65",5,15,1,50000,2.984877,16.914264,9.94956,17.909223,11.939494,21.888993,11.939494,9.94958,3.979836,8.954621,"conf_6"
"66",30,15,1,500,368.360909,353.396108,310.976307,277.946273,349.850636,383.135099,400.640565,357.856253,369.889739,327.119046,"conf_6"
"67",30,15,1,2000,152.81273,179.182574,72.528147,265.807673,95.433611,153.34915,143.329168,131.33929,120.950266,164.281403,"conf_6"
"68",30,15,1,5000,144.334563,169.14251,70.645012,265.807673,88.551342,143.280489,133.3379,113.455255,118.40089,152.240703,"conf_6"
"69",30,15,1,10000,144.268111,169.142459,70.641977,67.658454,88.551104,143.273411,133.323575,113.424827,118.399759,152.228099,"conf_6"
"70",30,15,1,50000,144.268111,169.142459,70.641977,67.65711,88.551104,143.273411,133.323575,113.424827,118.399759,152.228099,"conf_6"
"71",5,16,1,500,6.027411,11.835953,5.229646,0.752789,2.508998,1.146032,1.994822,12.950164,0.846344,9.526392,"conf_6"
"72",5,16,1,2000,2.78543,0.508497,5.157103,0.705783,2.501533,1.104732,1.957194,12.869099,0.846344,9.380296,"conf_6"
"73",5,16,1,5000,2.707976,0.506004,5.157103,0.705783,2.501533,1.104732,1.957194,2.529349,0.824612,9.380296,"conf_6"
"74",5,16,1,10000,2.707976,0.506004,1.035049,0.705783,2.501533,0.99487,1.957194,2.409635,0.701507,9.380296,"conf_6"
"75",5,16,1,50000,2.707976,0.494483,1.032675,0.705783,2.501533,0.957189,1.680709,1.238152,0.454981,0.453093,"conf_6"
"76",30,16,1,500,12.465339,9.597197,12.565677,10.894258,15.134486,10.808162,17.94587,14.634488,13.613554,17.973294,"conf_6"
"77",30,16,1,2000,3.374817,2.790003,4.119232,2.214639,4.998685,3.136044,8.106675,3.057688,3.476899,5.723007,"conf_6"
"78",30,16,1,5000,2.923656,2.604338,3.897494,2.053178,4.678565,2.894716,7.757792,2.71022,3.230217,5.387496,"conf_6"
"79",30,16,1,10000,2.921937,2.603752,3.89443,2.052454,4.677037,2.888649,7.754562,2.708238,3.228707,5.381433,"conf_6"
