 "problem_instance" , "ela_feature_class" , "technique" , "sample_size" , "value" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.4358972795499856e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.1849987001164752e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.9439568194113264e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.6336254770962846e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.4122297497486738e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-1.1434789752315062e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.9329902984381082e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.6299383166077117e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/dist_ratio.coeff_var" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.15219485130583743e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/eps.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "490558.37063650455e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/eps.ratio" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "5.950950950950951e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/eps.s" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "6.671671671671671e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cor_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.09750000000000059e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cor_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.11350000000000016e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cov_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.08887968864595369e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cov_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.08661739751081729e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cor_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.09750000000000014e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cor_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.10249999999999959e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cov_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.08770301254288762e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cov_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.08590749106261253e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/h.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.836992679851692e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/kurtosis" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "4.826304677334894e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/lin_simple.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.5016476541268424e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/lin_simple.coef.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "2798079.940241809e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/lin_simple.coef.max_by_min" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "178.4620085994694e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/lin_simple.coef.min" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "15915.666444113296e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/lin_simple.intercept" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "3.1364464394262604E7" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/lin_w_interact.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9526460833285326e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/m0" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.5847231487658439e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/nb_fitness.cor" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "-0.3904079475293023e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/nn_nb.cor" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.8026298734085207e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/nn_nb.mean_ratio" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9070412149432232e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/nn_nb.sd_ratio" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9367240110765016e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/number_of_peaks" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "2.0e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/quad_simple.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.5521945884125118e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/quad_simple.cond" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "91.18709355708963e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/quad_w_interact.adj_r2" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "1.0041851109191797e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_mean_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9353731149860787e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_mean_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9466578159625576e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_mean_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9575146583387519e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_mean_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9714795461905108e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_median_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9365675739701754e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_median_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9486403112245372e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_median_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9580950841434173e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/ratio_median_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "0.9716952831717881e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/skewness" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "3000" , "1.6160553309712764e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_mean_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-1.7556749431123402e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_mean_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-1.4925478057582517e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_mean_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-1.1298132994037071e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_mean_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-0.980944394979486e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_median_02" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-1.9366906952076772e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_median_05" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-1.742004368258792e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_median_10" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-1.1985732644567104e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/diff_median_25" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "-0.9600039667882712e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/dist_ratio.coeff_var" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.2648061982548308e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/eps.max" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "742798.248256491e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/eps.ratio" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "6.161161161161161e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/eps.s" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "6.991991991991991e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var.cor_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.480765661100816e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var.cor_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.4838778161930736e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var.cov_init" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.4831295278716867e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5" , "http://w3id.org/ontoopt/expl_var.cov_x" , "http://w3id.org/ontoopt/Sobol_sampling_technique" , "500" , "0.48756110981994827e0" ,
