 "problem_instance" , "ela_feature_class" , "value" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_02" , "-1.4358972795499856e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_05" , "-1.1849987001164752e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_10" , "-0.9439568194113264e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_mean_25" , "-0.6336254770962846e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_02" , "-1.4122297497486738e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_05" , "-1.1434789752315062e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_10" , "-0.9329902984381082e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/diff_median_25" , "-0.6299383166077117e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/dist_ratio.coeff_var" , "0.15219485130583743e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/eps.max" , "490558.37063650455e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/eps.ratio" , "5.950950950950951e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/eps.s" , "6.671671671671671e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cor_init" , "0.09750000000000059e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cor_x" , "0.11350000000000016e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cov_init" , "0.08887968864595369e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var.cov_x" , "0.08661739751081729e0" ,
 "http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_30" , "http://w3id.org/ontoopt/expl_var_PC1.cor_init" , "0.09750000000000014e0" ,
