"problem_instance","ela_feature_class","value",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_mean_02","-1.7556749431123402e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_mean_05","-1.4925478057582517e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_mean_10","-1.1298132994037071e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_mean_25","-0.980944394979486e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_median_02","-1.9366906952076772e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_median_05","-1.742004368258792e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_median_10","-1.1985732644567104e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/diff_median_25","-0.9600039667882712e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/dist_ratio.coeff_var","0.2648061982548308e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/eps.max","742798.248256491e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/eps.ratio","6.161161161161161e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/eps.s","6.991991991991991e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var.cor_init","0.480765661100816e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var.cor_x","0.4838778161930736e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var.cov_init","0.4831295278716867e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var.cov_x","0.48756110981994827e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var_PC1.cor_init","0.4843352524560263e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var_PC1.cor_x","0.47891986091963096e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var_PC1.cov_init","0.4963665319262741e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/expl_var_PC1.cov_x","0.488923187627997e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/h.max","0.7383456000682064e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/kurtosis","4.749648127779757e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/lin_simple.adj_r2","0.6255508079154259e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/lin_simple.coef.max","3372103.308406599e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/lin_simple.coef.max_by_min","19.269879615338546e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/lin_simple.coef.min","176445.88203905296e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/lin_simple.intercept","1.188761849884665E7",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/lin_w_interact.adj_r2","0.8991727325208175e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/m0","0.5020080321285141e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/nb_fitness.cor","-0.24826924241984616e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/nn_nb.cor","0.785019883495316e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/nn_nb.mean_ratio","0.8180619476056354e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/nn_nb.sd_ratio","0.8235546554289942e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/number_of_peaks","8.0e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/quad_simple.adj_r2","0.710434128319914e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/quad_simple.cond","15.231758604327538e0",
"http://w3id.org/ontoopt/COCO_benchmark_problem_10_instance_1_dim_5","http://w3id.org/ontoopt/quad_w_interact.adj_r2","0.9949660778857181e0",
