,elitism,budget,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
0,on,500,0.3703986550745744,0.3341632900077078,0.04493037430355184,0.25268626806592337,0.04206192193590712,0.303696950669239,0.3360507933725841,-0.09085059215130933,0.12515216543357252,0.33361975034317387,-0.15154086215150436,-0.2837840291234582,0.034992869642340406,-0.19021144533316514,0.20325240191563856,-0.8795438857620408,-0.058757615325117064,0.05754825957248689,0.2011556422506721,0.11665517007654211,0.14125203125753277,0.121165366870863,0.3115252079084155,0.3561524656472705,-0.13088466799170467,0.42536076985544263,0.1530130556573055,0.9847224969432873,0.11752973894064768,0.18918574378070632,-0.3041643670915766,0.009411614080112426,-0.5456475746407141,0.26339576075068255,0.11711335115720939,-0.5103242123562721,0.10068560125813296,0.7261846726091878,0.008443895178230531,0.14540317003892686,0.2706318849757101,0.5193891950757186,0.1592159237099138,0.09256946093874491,-0.009901890363803302,-0.1251261730979152
1,off,500,0.027032314238753994,-0.05226544900654417,0.15907564985689585,-0.011239325844634862,-0.31718276438846765,-0.020666020276943326,0.3492084426973559,0.1766546097714489,0.270446223419328,0.5003845731563019,0.48815774054916766,0.4085979044602142,0.07835444979274847,-0.05364859224110157,-0.02509529247511876,-0.10958368611411687,0.0450237287937083,0.046084797742181306,0.03646491935177886,0.049317006489245335,0.13956588310411921,0.6665933153114362,-0.7504677097749036,-0.2035642404863297,-0.5100217702464592,0.7530434895399271,-0.29201554660892776,-0.13036088067321872,0.09730293769507796,0.3295774954478211,0.22989783369075473,0.05131017789935534,-0.1628062795605166,-0.062066628575833,0.05209591923446566,-1.2775701360314102,0.25035506768113064,-0.0479012391252712,-0.06049391750905471,0.07197956172173955,0.060225557593098375,-0.21037118392340579,0.09007130508906482,0.1628899902883622,0.23622655454207292,0.24028543640762598
2,on,2000,0.024548031848670087,-0.0011740587477307859,0.002727143508228758,0.003992316645202278,0.01564420337409342,0.010371074064086145,0.0011208567112116605,0.007462702388356948,-0.03146389090190318,-0.06470601295714602,0.018179004864076143,0.059562628235920484,0.015764971823393054,0.006258031812094228,0.03026110898125549,0.03447175408366734,0.012961449486766911,0.00647546383868331,0.03724870104899056,0.014138919227094414,-0.01610529453829202,0.007729895439927597,0.03157238472123659,0.048315313840083265,-0.006500959481007923,-0.020884417466691712,-0.0042397854497263,0.00017134202314488743,-0.18305257448680176,-0.005725051176286718,-0.018570379421040464,-0.0004701035242310894,0.004199691062868735,0.010794412287792175,0.020734880762696903,-0.011511866924181652,-0.02118764976131114,0.015303299899484807,0.010367497707740782,0.006436348556282407,0.008140745555035045,0.016513626256438162,0.0015732939845243435,4.597886422012433e-05,0.017834679638747953,-0.004172113065830699
3,off,2000,0.00797430468210655,-0.0009554874986449275,0.004343201632329425,0.0017732566157541672,0.009709499296165812,-0.008233112430056021,0.002278120071863813,0.0039031680562825093,-0.002931810261299968,-0.017149952161337013,-0.0003074310546110892,0.015348825436819914,0.0022086493334884127,-0.0031443149133249483,0.012182687784418566,0.013156171706193733,0.002878813197538087,0.0021306272336753646,0.016647267328974404,0.014196732616167601,0.0032894871444690255,0.0027961982471035127,0.005301484815904849,0.008613034360027442,0.002161247948461144,-0.007975372205261047,0.0063666604125042475,-0.007520489434289187,-0.06912187215195398,-0.010643750947212323,-0.006018588089050841,0.0037489837787941303,0.0024102180365877857,0.0055429365680038645,0.01184683879388213,0.006790225475179713,-0.009040345723765556,0.006429702165559087,-0.0018148200173959141,0.005182392692625176,0.005899142022586057,0.0024106815926190983,-0.014092339039515008,0.006255107927215186,0.004967299336201951,-0.00901947331843982
4,on,5000,0.017913073085348435,0.0028529131306990318,0.002045919261208286,0.005354666008663992,0.017076070449363042,0.009272784361810855,0.00015736454764663416,0.003127583772338589,-0.030976099969737634,-0.059884291801871534,0.0135587189684219,0.059456489757720596,0.012348612818006515,-0.001656637901057643,0.03471683017143956,0.03383395164623042,0.006725517912032283,0.007689786298039705,0.02071325232425723,0.03617143310204122,-0.015755108847806835,0.006906890774659944,0.02596439136976089,0.031446441349863075,-0.0008856971076656769,-0.010022224665066736,-0.010039587878398674,-0.006252606422988166,-0.14981846001909802,-0.007240330038900993,-0.021072358155213806,-0.004178628200200939,0.005230964799463864,0.012301197447446606,0.014112952399549562,0.0024046757927898123,-0.030836914980428294,0.011123645743196998,0.007495171746930948,0.01039076772843319,0.00652173537385497,0.014146607116429752,-0.002777937211692278,0.0037469995510379874,0.008974386271400134,-0.003066139804673529
5,off,5000,0.007111480018805596,-0.004401925650972363,0.002809951608188932,0.0018914090175518566,0.009863566058477859,-0.010811061350645933,0.0013570101084508172,0.00301396032325721,-0.005712576277879991,-0.019658293047385325,0.00042290424769589677,0.01607380071438778,0.0030217511583345152,-0.004552768713863563,0.02030693591237804,0.015482476312166192,0.0031288861487769725,0.0034122169880472872,0.016888078715626684,0.011838452134854459,0.005179134735556403,0.0025881793054265594,0.0038330529335569323,0.0122550457435224,0.0014144640208727359,-0.007730853799427682,0.004571291210741007,-0.0017103920139392075,-0.06671415504638918,-0.009401930736277517,-0.006359205438517954,0.003052636724845176,0.0004649126384907689,0.005728354270330654,0.012707138594659252,0.0050688673148418404,-0.009590614798557294,0.008725717459018938,-0.0001813024620632673,0.006880741886298175,0.0070527597064425065,0.002891189432071292,-0.015285954063169476,0.004381914158731454,0.002750909647150394,-0.007735728546485627
6,on,10000,0.014634752629587668,0.005806463591783103,-0.0019757166494224726,0.009639598777425573,0.016029462943706493,0.009803517046417732,0.0011286758821309037,0.0050007333761565124,-0.025873993670346217,-0.058343649409868935,0.0027751444400113245,0.05162218384922694,0.01006518255442616,-0.0030420796185600544,0.027879946443478368,0.023103172860761197,0.0019339710005639305,0.005061745612954786,0.022310803844277083,0.026242058468915714,-0.008954000727322461,0.005611575019207889,0.02377975915593793,0.03510221126360092,-0.002620809686231682,-0.018681380028491273,-0.007902707766353205,-0.00882373344212351,-0.11957398090191264,-0.013652231553863655,-0.009376111154505432,-0.0004022485255538537,-0.0021936576787120595,0.010272246881920473,0.014129763439878837,0.007869939102381587,-0.02451526626940827,0.010713657036951697,3.8817007565699645e-05,0.00896311406512335,0.01171377733869223,0.012814203098494294,-0.0018142394686197529,0.001367938340981644,0.011985687641410843,-0.004152275970098349
7,off,10000,0.00916038257265911,-0.0044078839780051175,0.0012689831732301863,0.0012931215277884364,0.008005208071371601,-0.012155187224697795,0.002902181694024097,0.004169850425304104,0.0010340117345991402,-0.02194282874208894,0.0021493117711320012,0.017897497714454935,0.0028657048833740906,-0.004828151592067659,0.013833920216168678,0.013545221344020116,0.002924436241852258,0.0028288533257471386,0.01529261393477327,0.010781507304991757,0.0042163613578145845,0.003276478838451301,0.00420586574758118,0.010468348474033736,-0.0011360226428881156,-0.006551684865763963,0.004847082686326274,-0.00196322494216276,-0.06898693560195453,-0.0077535687889372625,-0.005723382334434825,0.0019927182751078823,0.0008977100492640881,0.005046203735138648,0.011475207069548733,0.007649885663411492,-0.008665172487772491,0.008108038756477868,0.0016625101918679075,0.007250874258963478,0.007743219493088335,0.002851346483888986,-0.015723284618085677,0.0041967376656713755,0.0037279959356860417,-0.008340269638536764
8,on,50000,0.007539869967396808,0.006087587132306547,-0.002096635519723315,0.007303770300601459,0.011991890641335315,-0.003928902830978494,0.0033560562138575142,0.011701365185722559,-0.007787637415316364,-0.04241264460850855,0.0006774143234154896,0.029132574518527177,0.005943175081527084,0.004505482733219701,0.013987591831215384,0.019038903708285156,0.005346584368947135,0.004544062030103136,0.026749057797063013,0.020884903212520223,-0.008926918916674128,0.008366964396130263,0.018104375740010784,0.02507022055689693,-0.010228042916068823,-0.01745250771254653,-0.0013353502914426163,-0.007834002830503683,-0.0746194917404567,-0.013071671154211371,-0.014154561498025908,-0.0034364722411668823,-0.0052274687421158825,0.006893689450397355,0.009485230142950553,-0.00303629526058058,-0.018861973811826187,0.011193110371735737,0.0015368791899677107,0.00032738308127611897,0.012471049709906472,0.007966017239473802,2.5461358740258015e-05,-0.0013327683949477301,0.016700902067288487,-0.007024541756140994
9,off,50000,0.004897868322035105,-0.004628201386237026,0.0007755514910482819,0.0070492145555227145,0.0014514735206214732,-0.0036229547023313084,-0.0016822668025280073,0.009117177391927474,0.00521362413798287,-0.01316503158501227,-0.0026934669444109898,0.012072111588125881,-0.001041857165271872,0.001048206441479842,0.007355494684328926,0.006721379441210537,0.0006630064180131928,0.0021249357879141607,0.0074347348799627235,0.0027983654386413604,0.007058935688123642,0.002891984520012621,0.010372613072133184,-0.005645831692017025,7.666242563438123e-06,-0.004920857334531553,0.0008895288998622237,-0.006426310815819487,-0.02790826136171819,-0.006737936853642958,-0.002214164930369217,0.00021914630393276853,-4.349780713526999e-05,0.005552022760697882,0.0026782549594836272,0.0011178078214567895,-0.004895252758496425,0.0037005227184081194,-0.0061085322149833105,0.0018773615271365912,0.008702804846655254,0.003112647773549104,-0.008676853368211833,0.002257564820647697,0.005953529490471318,-0.009082056444148664
