,step_size_adaptation,budget,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
0,csa,500,0.3703986550745744,0.3341632900077078,0.04493037430355184,0.25268626806592337,0.04206192193590712,0.303696950669239,0.3360507933725841,-0.09085059215130933,0.12515216543357252,0.33361975034317387,-0.15154086215150436,-0.2837840291234582,0.034992869642340406,-0.19021144533316514,0.20325240191563856,-0.8795438857620408,-0.058757615325117064,0.05754825957248689,0.2011556422506721,0.11665517007654211,0.14125203125753277,0.121165366870863,0.3115252079084155,0.3561524656472705,-0.13088466799170467,0.42536076985544263,0.1530130556573055,0.9847224969432873,0.11752973894064768,0.18918574378070632,-0.3041643670915766,0.009411614080112426,-0.5456475746407141,0.26339576075068255,0.11711335115720939,-0.5103242123562721,0.10068560125813296,0.7261846726091878,0.008443895178230531,0.14540317003892686,0.2706318849757101,0.5193891950757186,0.1592159237099138,0.09256946093874491,-0.009901890363803302,-0.1251261730979152
1,psr,500,-0.08944074542479186,-0.07790559025588188,-0.09866269424517395,0.12268490143007743,-0.14655790494645188,-0.1195023330554493,0.008735672748050313,0.0036593506771914618,0.03629115415988915,0.8544254115640958,0.7154162359386015,0.11556064150563969,0.04892074129910396,0.03860240217282798,0.007432810934123761,-0.07870400008361896,0.0131458135758441,0.007118532180061783,0.018278839485787395,0.015203877482153598,0.14497558777688663,-0.08693474372153602,-0.013375541969261155,-0.03088481158911399,-0.09212507464479766,-0.21423362194266027,0.5006095898260188,0.08087195400025511,-0.12006428438243266,-0.02427382188190306,0.01165216841586038,0.09202274350380628,0.05484770175910641,-0.06573139496956494,0.09003163710847199,-0.09659401539322765,0.06355137326036443,0.02535608902307406,0.18803754566870584,-0.03892153681785944,0.08055271646159744,-0.3092792450920789,0.21547624539071172,0.15006566588247588,-0.17069245042831424,0.002091345120111118
2,csa,2000,0.024548031848670087,-0.0011740587477307859,0.002727143508228758,0.003992316645202278,0.01564420337409342,0.010371074064086145,0.0011208567112116605,0.007462702388356948,-0.03146389090190318,-0.06470601295714602,0.018179004864076143,0.059562628235920484,0.015764971823393054,0.006258031812094228,0.03026110898125549,0.03447175408366734,0.012961449486766911,0.00647546383868331,0.03724870104899056,0.014138919227094414,-0.01610529453829202,0.007729895439927597,0.03157238472123659,0.048315313840083265,-0.006500959481007923,-0.020884417466691712,-0.0042397854497263,0.00017134202314488743,-0.18305257448680176,-0.005725051176286718,-0.018570379421040464,-0.0004701035242310894,0.004199691062868735,0.010794412287792175,0.020734880762696903,-0.011511866924181652,-0.02118764976131114,0.015303299899484807,0.010367497707740782,0.006436348556282407,0.008140745555035045,0.016513626256438162,0.0015732939845243435,4.597886422012433e-05,0.017834679638747953,-0.004172113065830699
3,psr,2000,0.014577656603091458,0.0014536675239167059,0.007898445951548917,-0.001606390559445357,0.01511029742328401,0.010934875359631318,0.003481981644479683,-0.0009274885401013444,-0.020148363154343117,-0.042369851314295465,0.016192656655330796,0.026922864907771616,0.009012362431053363,-0.0017128857580168376,0.02405136594391021,0.02430335715391883,0.0012029283501254022,0.00332261736853079,0.017376754644443954,0.022252829323634087,-0.01845781762628922,0.004210940767030686,0.019647634047846554,0.013053647375712534,0.003958561476008204,-0.012447557159534356,0.006222175167438884,-0.010004898893968939,-0.08930146464132134,-0.017298656921394744,-0.016774901037620974,-0.004881657004196579,-0.0032597852431054584,0.0006997148813116793,0.015152219075857362,0.0024450852013632365,-0.02053783285076878,0.012778898664099623,0.007208232940268194,0.006181110344551926,0.0013496185972783536,0.015832357931120665,0.009726216713732425,-1.2104498676194774e-05,0.004494153303040232,-0.0024476452162625318
4,csa,5000,0.017913073085348435,0.0028529131306990318,0.002045919261208286,0.005354666008663992,0.017076070449363042,0.009272784361810855,0.00015736454764663416,0.003127583772338589,-0.030976099969737634,-0.059884291801871534,0.0135587189684219,0.059456489757720596,0.012348612818006515,-0.001656637901057643,0.03471683017143956,0.03383395164623042,0.006725517912032283,0.007689786298039705,0.02071325232425723,0.03617143310204122,-0.015755108847806835,0.006906890774659944,0.02596439136976089,0.031446441349863075,-0.0008856971076656769,-0.010022224665066736,-0.010039587878398674,-0.006252606422988166,-0.14981846001909802,-0.007240330038900993,-0.021072358155213806,-0.004178628200200939,0.005230964799463864,0.012301197447446606,0.014112952399549562,0.0024046757927898123,-0.030836914980428294,0.011123645743196998,0.007495171746930948,0.01039076772843319,0.00652173537385497,0.014146607116429752,-0.002777937211692278,0.0037469995510379874,0.008974386271400134,-0.003066139804673529
5,psr,5000,0.016045947240764753,0.005816972026649638,-0.003801679015103026,-0.0017005336439616789,0.015155089105230097,0.006604853015884442,0.004765662139272752,0.0013316539416588162,-0.020714885204799794,-0.044173842972475494,0.015187597398228668,0.03206314089683905,0.009959312019762662,-0.0028181225569204123,0.025903953223857308,0.023242974611512413,0.0032010254885345294,0.004939867097957546,0.01649751900244222,0.0218294022453268,-0.017857589612494194,0.003272591306168289,0.016655130080386875,0.017485265674875225,-0.0008182435976454859,-0.014396558971881523,-0.0008926786925688167,-0.00758254806161766,-0.08039220207839715,-0.01864905633140929,-0.007552399670069143,-0.0054107834980648825,0.002555523287838243,0.0031397371947096135,0.01155835911068711,-0.0011849651492786856,-0.016655590146448768,0.012473864303555304,0.00552957379847827,0.003029818285419206,0.004854478989823005,0.013950225980675435,0.0038756654699341206,0.0009232440636142539,0.002684967186784013,-0.004341832359299869
6,csa,10000,0.014634752629587668,0.005806463591783103,-0.0019757166494224726,0.009639598777425573,0.016029462943706493,0.009803517046417732,0.0011286758821309037,0.0050007333761565124,-0.025873993670346217,-0.058343649409868935,0.0027751444400113245,0.05162218384922694,0.01006518255442616,-0.0030420796185600544,0.027879946443478368,0.023103172860761197,0.0019339710005639305,0.005061745612954786,0.022310803844277083,0.026242058468915714,-0.008954000727322461,0.005611575019207889,0.02377975915593793,0.03510221126360092,-0.002620809686231682,-0.018681380028491273,-0.007902707766353205,-0.00882373344212351,-0.11957398090191264,-0.013652231553863655,-0.009376111154505432,-0.0004022485255538537,-0.0021936576787120595,0.010272246881920473,0.014129763439878837,0.007869939102381587,-0.02451526626940827,0.010713657036951697,3.8817007565699645e-05,0.00896311406512335,0.01171377733869223,0.012814203098494294,-0.0018142394686197529,0.001367938340981644,0.011985687641410843,-0.004152275970098349
7,psr,10000,0.01407190135008085,0.002980744237490178,0.0014683831252479962,-0.0018194992755131327,0.014799771180140928,0.0040557869170209085,0.0038763433623340135,0.003568733453924909,-0.019170010744196532,-0.04186381595193822,0.015224485006665931,0.03283429080076576,0.009161681881212308,-0.0025164482291776626,0.017622612577313894,0.02120032770332645,0.0024990476870141443,0.004242235638352419,0.01505839443523058,0.016907826846570682,-0.015343478628458727,0.005567807132645023,0.01638019638226682,0.018765315993247943,-0.003119606643197893,-0.017561409794774895,0.006803613224363997,-0.00557155619290105,-0.07742143261996913,-0.01264341409733873,-0.008609567606438277,-0.005614497831018973,0.0013261009689198133,0.0012462351333930631,0.006687731437797858,-0.004090654715240168,-0.015589242356653037,0.011687139105425046,0.00041521938685348456,0.009511040604662643,0.005063810630251967,0.01241860724022718,0.00523200365181028,-0.00044276143445503625,0.004642177258458095,-0.004969950618203865
8,csa,50000,0.007539869967396808,0.006087587132306547,-0.002096635519723315,0.007303770300601459,0.011991890641335315,-0.003928902830978494,0.0033560562138575142,0.011701365185722559,-0.007787637415316364,-0.04241264460850855,0.0006774143234154896,0.029132574518527177,0.005943175081527084,0.004505482733219701,0.013987591831215384,0.019038903708285156,0.005346584368947135,0.004544062030103136,0.026749057797063013,0.020884903212520223,-0.008926918916674128,0.008366964396130263,0.018104375740010784,0.02507022055689693,-0.010228042916068823,-0.01745250771254653,-0.0013353502914426163,-0.007834002830503683,-0.0746194917404567,-0.013071671154211371,-0.014154561498025908,-0.0034364722411668823,-0.0052274687421158825,0.006893689450397355,0.009485230142950553,-0.00303629526058058,-0.018861973811826187,0.011193110371735737,0.0015368791899677107,0.00032738308127611897,0.012471049709906472,0.007966017239473802,2.5461358740258015e-05,-0.0013327683949477301,0.016700902067288487,-0.007024541756140994
9,psr,50000,0.01071622050261047,0.0022961426920005816,0.00497168074064798,0.00019273976428057645,0.009863382234654229,-0.0012664972783706448,0.007672298201071087,0.001674599989657326,-0.011533995271768181,-0.03573381661190363,0.002984508072214182,0.030888571892762916,0.007163052831585783,-0.0030866163424855706,0.020213364646095595,0.01243354222039952,0.005023871127746804,0.003859735965878954,0.014253848809356392,0.01334320508578856,-0.007723746422921303,0.007636204113274694,0.014959154166462875,0.016222549011232452,-0.0031068303567251486,-0.010927646294629565,0.004595562714143355,-0.0052811914081142665,-0.07427750643529782,-0.012411284357505336,-0.010673535557506227,-0.0057997471247540466,0.00462289520251837,0.003989626401804377,0.008568909977545428,-7.7981615409761e-05,-0.017822068011120185,0.0055301950018886515,0.002250202363120874,0.005270841483531027,0.005076465104930779,0.003835815419261882,0.005674450004983953,0.0019029613824779153,0.0017688539465175494,-0.002426373633192175
