,0-500,1-500,0-2000,1-2000,0-5000,1-5000,0-10000,1-10000,0-50000,1-50000
diff_mean_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_mean_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_mean_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_mean_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_median_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_median_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_median_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diff_median_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dist_ratio.coeff_var,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eps.max,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
eps.ratio,11.0,11.0,1.0,8.0,7.0,9.0,9.0,11.0,7.0,7.0
eps.s,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
expl_var.cor_init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expl_var.cor_x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expl_var.cov_init,0.0,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
expl_var.cov_x,2.0,3.0,9.0,11.0,9.0,10.0,8.0,7.0,7.0,4.0
expl_var_PC1.cor_init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expl_var_PC1.cor_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expl_var_PC1.cov_init,0.0,0.0,9.0,8.0,10.0,6.0,9.0,5.0,8.0,6.0
expl_var_PC1.cov_x,0.0,0.0,9.0,10.0,10.0,8.0,9.0,9.0,6.0,10.0
h.max,8.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
kurtosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin_simple.adj_r2,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin_simple.coef.max,11.0,10.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
lin_simple.coef.max_by_min,6.0,4.0,9.0,10.0,8.0,8.0,7.0,9.0,11.0,11.0
lin_simple.coef.min,9.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
lin_simple.intercept,11.0,11.0,5.0,6.0,7.0,7.0,10.0,8.0,9.0,9.0
lin_w_interact.adj_r2,6.0,6.0,2.0,2.0,4.0,3.0,4.0,6.0,6.0,5.0
m0,0.0,0.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
nb_fitness.cor,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nn_nb.cor,2.0,2.0,7.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0
nn_nb.mean_ratio,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nn_nb.sd_ratio,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_peaks,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quad_simple.adj_r2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
quad_simple.cond,8.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
quad_w_interact.adj_r2,2.0,0.0,6.0,9.0,6.0,9.0,6.0,11.0,6.0,11.0
ratio_mean_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_mean_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_mean_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_mean_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_median_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_median_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_median_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratio_median_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skewness,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
