;0-500;1-500;0-2000;Jan-00;0-5000;Jan-00;0-10000;1-10000;0-50000;1-50000
diff_mean_02;4.0;3.0;1.0;6.0;2.0;3.0;1.0;0.0;1.0;0.0
diff_mean_05;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
diff_mean_10;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
diff_mean_25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
diff_median_02;9.0;9.0;3.0;7.0;3.0;3.0;2.0;0.0;0.0;0.0
diff_median_05;10.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0
diff_median_10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
diff_median_25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dist_ratio.coeff_var;0.0;0.0;10.0;11.0;9.0;11.0;11.0;11.0;9.0;7.0
eps.max;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0
eps.ratio;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;10.0
eps.s;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;10.0;11.0
expl_var.cor_init;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
expl_var.cor_x;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
expl_var.cov_init;7.0;7.0;1.0;0.0;1.0;0.0;7.0;11.0;11.0;11.0
expl_var.cov_x;0.0;0.0;1.0;0.0;1.0;2.0;4.0;10.0;11.0;11.0
expl_var_PC1.cor_init;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
expl_var_PC1.cor_x;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
expl_var_PC1.cov_init;0.0;1.0;0.0;0.0;0.0;0.0;8.0;11.0;11.0;11.0
expl_var_PC1.cov_x;2.0;5.0;0.0;0.0;1.0;0.0;4.0;6.0;11.0;11.0
h.max;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;1.0;7.0
kurtosis;11.0;11.0;5.0;9.0;8.0;7.0;3.0;1.0;0.0;0.0
lin_simple.adj_r2;3.0;2.0;11.0;11.0;11.0;11.0;6.0;6.0;4.0;4.0
lin_simple.coef.max;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0
lin_simple.coef.max_by_min;3.0;2.0;9.0;10.0;7.0;10.0;10.0;11.0;11.0;11.0
lin_simple.coef.min;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0
lin_simple.intercept;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0
lin_w_interact.adj_r2;0.0;2.0;4.0;2.0;10.0;8.0;3.0;0.0;11.0;10.0
m0;8.0;8.0;0.0;3.0;0.0;0.0;2.0;8.0;11.0;11.0
nb_fitness.cor;11.0;11.0;8.0;5.0;1.0;1.0;1.0;0.0;0.0;1.0
nn_nb.cor;1.0;1.0;10.0;7.0;11.0;11.0;11.0;11.0;11.0;11.0
nn_nb.mean_ratio;1.0;2.0;11.0;11.0;11.0;10.0;11.0;8.0;3.0;1.0
nn_nb.sd_ratio;2.0;1.0;10.0;9.0;11.0;11.0;11.0;11.0;7.0;5.0
number_of_peaks;8.0;5.0;11.0;11.0;11.0;11.0;11.0;10.0;0.0;0.0
quad_simple.adj_r2;2.0;4.0;11.0;6.0;10.0;11.0;11.0;11.0;11.0;11.0
quad_simple.cond;9.0;7.0;11.0;11.0;11.0;11.0;11.0;11.0;10.0;11.0
quad_w_interact.adj_r2;3.0;4.0;11.0;6.0;11.0;11.0;9.0;6.0;9.0;9.0
ratio_mean_02;6.0;5.0;4.0;4.0;3.0;4.0;2.0;0.0;0.0;0.0
ratio_mean_05;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
ratio_mean_10;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0
ratio_mean_25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ratio_median_02;10.0;9.0;8.0;5.0;5.0;3.0;2.0;0.0;1.0;0.0
ratio_median_05;6.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
ratio_median_10;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
ratio_median_25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
skewness;11.0;11.0;3.0;9.0;5.0;4.0;2.0;0.0;0.0;0.0
