,pair,0-500,1-500,0-2000,1-2000,0-5000,1-5000,0-10000,1-10000,0-50000,1-50000,0-500,1-500,0-2000,1-2000,0-5000,1-5000,0-10000,1-10000,0-50000,1-50000
0,810-0,0.665591135352415,0.2417324911362352,0.4997172181863683,0.6537129568664884,0.489435247986269,0.6335620897713586,0.4911240629927402,0.5922114934576783,0.50206794906794,0.611046747665304,0.8758375025169928,0.7465424845985091,0.6913174234017602,0.662363631773912,0.6933106486591808,0.6741382296845116,0.7187314939782123,0.6094624432858888,0.614465308205783,0.6410187210626009
1,1080-270,0.5171337536986129,0.5158129452223157,0.6347681734718259,0.5898420490397098,0.5776288795632258,0.5082999996324148,0.4880736649137412,0.5520515876328058,0.1452347757238857,0.5631645548078152,0.8594087710039731,0.8802153620506825,0.6940389692654433,0.6786973718852163,0.6742573727120859,0.6827015231285946,0.5589968165643948,0.6023256498467532,0.5908647228326634,0.5823462961525335
2,811-1,0.0253571326782021,0.6298720502236115,0.568319016550412,0.6980204332522677,0.5678039351661559,0.6947836223151005,0.5256205274854112,0.6740595556976061,0.4789448762095206,0.6193553567501293,0.8747282929436011,0.8767224487045364,0.6041241769786673,0.7438217168216485,0.6851934471331577,0.6822959799315079,0.4955130009304092,0.6109778223541504,0.5783301575044496,0.5496704433888449
3,812-2,0.5745663088167487,0.4636286605689044,0.4152591538511991,0.6656559185580552,0.4726611152277277,0.650655935657877,0.4789730367326419,0.6470137784859931,0.4745603812291826,0.5996443784906518,0.8706243722770601,0.8652190479624583,0.7362391036979752,0.6871276587770844,0.7229248706204736,0.5797972250938346,0.6822411270421896,0.505235344887873,0.6468971158859859,0.5712783476488903
4,813-3,0.1180939518905579,0.4988138636986852,0.6544556669303481,0.7210688197125027,0.6514210038052995,0.7167216670091164,0.6320794329547785,0.7075617906961099,0.5240708023399253,0.6443219498858298,0.9019784379940458,0.8699328039919827,0.716336385770124,0.8339521099376498,0.6569000569634387,0.6314375486424684,0.5463657729182015,0.6455020122114156,0.3293137763822078,0.7220661814010049
5,814-4,0.5529582148605492,0.1607031660387502,0.5562517423760207,0.6440993713981404,0.5516539642845193,0.6326208435022458,0.5459989620510705,0.639848274067351,0.5033307673855234,0.5777416110905544,0.8161042732619445,0.8511773210814477,0.686182138600265,0.6725294807858295,0.6747167006554099,0.6700464043856698,0.668664248464578,0.5888999350789165,0.6009946932258274,0.6737300397527749
6,815-5,0.3620802935137391,0.3197498494116305,-0.471788006486557,0.6875614098361899,0.5461153935449599,0.6698366903008939,0.5700969215008349,0.651587969324469,0.5351079702156983,0.6169482975201875,0.8195084023798046,0.8375811908503188,0.6737359178597803,0.8129828099683296,0.6789535205431896,0.6495410570147134,0.587384233694188,0.539676298880934,0.5059677172534442,0.7297677531195434
7,816-6,0.3126315659199562,0.5524044136640706,0.4115037734794069,0.6885547785234082,0.4987475854580656,0.7037286302228456,0.499192810431783,0.6816441081059711,0.5281039248915288,0.625397188807793,0.764268485774744,0.8439042138734612,0.7372746198894833,0.6987084101390011,0.6826348951040802,0.6656015221039716,0.6666668988975867,0.6250605636557673,0.6872040512464987,0.6844113206836111
8,817-7,0.3202487526546253,0.5876777406847633,0.1174187918544747,0.6352562359272527,0.2156946110167683,0.61274518940617,0.5959363240006983,0.6065998062449838,0.5290729201039444,0.5706652273517356,0.875241878497793,0.8771781712226531,0.6662130054110385,0.8233149953417744,0.6550718062934358,0.6741647814063677,0.5692227355145768,0.5609388440997944,0.5769667977698008,0.693171439192892
9,818-8,0.0878012459617026,0.4575423733145541,0.5133822557019789,0.6341809616998122,0.5048848841229573,0.6398333327820757,0.5100208318240758,0.6405809634296096,0.4957089998083486,0.6153981558795886,0.8349553596138659,0.8312787480651244,0.7079263377304309,0.527953233829297,0.7072483415893727,0.5722230478041609,0.7330729488336888,0.5549380582448752,0.586550042945111,0.5975545613462859
10,1081-271,0.3334437239686718,0.6042187934222824,0.4442196205834777,0.6743095985262121,0.5892324678751311,0.6482137024316594,0.5758945521838312,0.6395304634629102,0.4930697835347263,0.5842790644700362,0.8642586045995749,0.8766379637153368,0.6234785326077016,0.7842649714984354,0.66710183954601,0.6838037807582105,0.6278247866557577,0.6607624615476748,0.5630679994201613,0.6351441248415811
