,model,config,parameters,neg_mean_squared_error,neg_root_mean_squared_error,r2,explained_variance
0,DummyRegressor(),dim_30_budget_10000_conf_816,{'strategy': 'mean'},-76588.87802043394,-274.2965135422513,-0.004770455546809505,2.2204460492503132e-17
1,RandomForestRegressor(),dim_30_budget_10000_conf_816,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-25835.38019905342,-157.8690273021995,0.6666668988975867,0.6761223340217677
2,DummyRegressor(),dim_30_budget_10000_conf_0,{'strategy': 'mean'},-43955.45875520554,-207.88278934108726,-0.004607906416743646,0.0
3,RandomForestRegressor(),dim_30_budget_10000_conf_0,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-17650.42779998103,-129.77635637184312,0.6094624432858888,0.6189703506651847
4,DummyRegressor(),dim_30_budget_10000_conf_815,{'strategy': 'mean'},-57461.568649876666,-239.4100984577461,-0.0006878965803435832,4.4408920985006264e-17
5,RandomForestRegressor(),dim_30_budget_10000_conf_815,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-23910.81102434805,-152.0807618897089,0.587384233694188,0.5900227086978135
6,DummyRegressor(),dim_30_budget_10000_conf_1,{'strategy': 'mean'},-58369.37165989296,-238.88429455420828,-0.006403091303685837,0.0
7,RandomForestRegressor(),dim_30_budget_10000_conf_1,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-23411.080103519816,-149.07939652335273,0.6109778223541504,0.6186495298197215
8,DummyRegressor(),dim_30_budget_10000_conf_817,{'strategy': 'mean'},-52982.74455603856,-229.305116894572,-0.0006734931842214298,-4.4408920985006264e-17
9,RandomForestRegressor(),dim_30_budget_10000_conf_817,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-23448.68935064664,-149.75899166550772,0.5692227355145768,0.5701313310098757
10,DummyRegressor(),dim_30_budget_10000_conf_10,{'strategy': 'mean'},-33377.96596745999,-181.46801248498875,-0.004263840341603764,4.4408920985006264e-17
11,RandomForestRegressor(),dim_30_budget_10000_conf_10,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-15262.836983545454,-121.11220904543545,0.5547886084493141,0.5655216240211558
12,DummyRegressor(),dim_30_budget_10000_conf_818,{'strategy': 'mean'},-74889.13125072165,-272.3528733278648,-0.0011740560349927432,-2.2204460492503132e-17
13,RandomForestRegressor(),dim_30_budget_10000_conf_818,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-21252.807776822225,-139.85609857998833,0.7330729488336888,0.7369632393251645
14,DummyRegressor(),dim_30_budget_10000_conf_1080,{'strategy': 'mean'},-15725.170460804371,-122.64701869961475,-0.00926985311403219,0.0
15,RandomForestRegressor(),dim_30_budget_10000_conf_1080,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-7774.455106321979,-82.5977640176025,0.5589968165643948,0.5740568261974637
16,DummyRegressor(),dim_30_budget_10000_conf_9,{'strategy': 'mean'},-60223.87398084338,-241.9531773004408,-0.008758226475747356,1.3322676295501878e-16
17,RandomForestRegressor(),dim_30_budget_10000_conf_9,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-25449.14194902572,-155.54404352298218,0.5822982904753445,0.5981643086258817
18,DummyRegressor(),dim_30_budget_10000_conf_1081,{'strategy': 'mean'},-23618.773626015478,-151.72348820130895,-0.006999327226313934,8.881784197001253e-17
19,RandomForestRegressor(),dim_30_budget_10000_conf_1081,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-9364.244462456532,-92.87727993869804,0.6278247866557577,0.6393925627311068
20,DummyRegressor(),dim_30_budget_2000_conf_0,{'strategy': 'mean'},-51980837.809687026,-7080.521005592108,-0.00603479382794272,2.2204460492503132e-17
21,RandomForestRegressor(),dim_30_budget_2000_conf_0,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-17516328.04832176,-4013.989129005021,0.662363631773912,0.6684205339614284
22,DummyRegressor(),dim_30_budget_10000_conf_11,{'strategy': 'mean'},-64520.41719483935,-250.52967634213383,-0.007684293687627841,4.4408920985006264e-17
23,RandomForestRegressor(),dim_30_budget_10000_conf_11,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-25690.973955919377,-153.64031869480306,0.624649534550163,0.6369733394036187
24,DummyRegressor(),dim_30_budget_2000_conf_1081,{'strategy': 'mean'},-26701879.137352306,-5017.500918677228,-0.007228852331168101,-8.881784197001253e-17
25,RandomForestRegressor(),dim_30_budget_2000_conf_1081,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-10404647.511509474,-3051.094198156691,0.6234785326077016,0.6296255336442915
26,DummyRegressor(),dim_30_budget_10000_conf_12,{'strategy': 'mean'},-43990.10332085246,-207.22848769608953,-0.007880906236506658,-8.881784197001253e-17
27,RandomForestRegressor(),dim_30_budget_10000_conf_12,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-18091.423269353647,-131.30203304247036,0.5961139981910362,0.6089345823765943
28,DummyRegressor(),dim_30_budget_2000_conf_11,{'strategy': 'mean'},-186706900.69474158,-13589.582468629062,-0.001890637764613423,4.4408920985006264e-17
29,RandomForestRegressor(),dim_30_budget_2000_conf_11,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-31332123.110900085,-5261.526394954627,0.8432987867937687,0.8462021560891747
30,DummyRegressor(),dim_30_budget_10000_conf_13,{'strategy': 'mean'},-59717.949591300625,-240.68586045818893,-0.006412502872638726,0.0
31,RandomForestRegressor(),dim_30_budget_10000_conf_13,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-25470.083183169638,-153.89677109435294,0.5946693283796345,0.6101255499629962
32,DummyRegressor(),dim_30_budget_2000_conf_12,{'strategy': 'mean'},-54151999.550698444,-7217.100750969248,-0.005471367570380315,4.4408920985006264e-17
33,RandomForestRegressor(),dim_30_budget_2000_conf_12,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-18561333.160732485,-4095.4638405639007,0.6768925891846334,0.6802407980362132
34,DummyRegressor(),dim_30_budget_10000_conf_1350,{'strategy': 'mean'},-54519.77172680665,-230.8841622939893,-0.0035090054477014744,0.0
35,RandomForestRegressor(),dim_30_budget_10000_conf_1350,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-16147.924711400574,-122.61747161326136,0.7221913333048674,0.7283536447741794
36,DummyRegressor(),dim_30_budget_2000_conf_13,{'strategy': 'mean'},-145152098.83040732,-11958.08709937585,-0.003192221272931084,-4.4408920985006264e-17
37,RandomForestRegressor(),dim_30_budget_2000_conf_13,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-27275628.443101704,-4985.775063781768,0.8223566338013715,0.8275684019875212
38,DummyRegressor(),dim_30_budget_10000_conf_14,{'strategy': 'mean'},-34859.646318587635,-184.38374515535992,-0.007621445600344856,6.661338147750939e-17
39,RandomForestRegressor(),dim_30_budget_10000_conf_14,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 42}",-15250.501438935924,-119.94875997870959,0.5787459410468045,0.59212117364083
40,DummyRegressor(),dim_30_budget_2000_conf_1350,{'strategy': 'mean'},-111418725.35318789,-10495.515565242795,-0.0009554447331947546,-8.881784197001253e-17
41,RandomForestRegressor(),dim_30_budget_2000_conf_1350,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-32401905.863952946,-5398.7904828805495,0.7307995195011248,0.7325681672592463
42,DummyRegressor(),dim_30_budget_10000_conf_15,{'strategy': 'mean'},-54163.59939250338,-228.7575509311781,-0.007061719251344823,4.4408920985006264e-17
43,RandomForestRegressor(),dim_30_budget_10000_conf_15,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-22962.64214008434,-144.88750344426285,0.6021948876109626,0.6132219472949092
44,DummyRegressor(),dim_30_budget_2000_conf_14,{'strategy': 'mean'},-46730144.514224514,-6726.354206087226,-0.003934061304773584,0.0
45,RandomForestRegressor(),dim_30_budget_2000_conf_14,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-13622758.982267935,-3535.3938748053233,0.7216611402792388,0.7245604894165484
46,DummyRegressor(),dim_30_budget_10000_conf_16,{'strategy': 'mean'},-36426.372944866736,-190.10235022875025,-0.0012561653040048081,-6.661338147750939e-17
47,RandomForestRegressor(),dim_30_budget_10000_conf_16,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-15196.051299274442,-121.94928764741503,0.5871340638746391,0.5915533982311344
48,DummyRegressor(),dim_30_budget_2000_conf_15,{'strategy': 'mean'},-155622412.72124702,-12376.613475711882,-0.004100905461055682,0.0
49,RandomForestRegressor(),dim_30_budget_2000_conf_15,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-33803258.072747484,-5642.255454604221,0.7856128469604478,0.791515491292796
50,DummyRegressor(),dim_30_budget_10000_conf_17,{'strategy': 'mean'},-53948.11616176821,-230.00717722629952,-0.004585577407947339,-8.881784197001253e-17
51,RandomForestRegressor(),dim_30_budget_10000_conf_17,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-24933.333465973643,-153.91453920033524,0.5409581129408639,0.5531792984921255
52,DummyRegressor(),dim_30_budget_2000_conf_16,{'strategy': 'mean'},-48660242.34393398,-6910.855027946054,-0.0029693497863522824,1.3322676295501878e-16
53,RandomForestRegressor(),dim_30_budget_2000_conf_16,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-14510044.69827945,-3685.4236917243843,0.7099500325624427,0.7118929280113907
54,DummyRegressor(),dim_30_budget_10000_conf_18,{'strategy': 'mean'},-38153.99056121208,-192.1919998455043,-0.00940140649728578,1.1102230246251565e-16
55,RandomForestRegressor(),dim_30_budget_10000_conf_18,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-17143.453743159098,-129.00004706894688,0.5424079004632216,0.5633326090806104
56,DummyRegressor(),dim_30_budget_2000_conf_17,{'strategy': 'mean'},-151286679.57695624,-12191.417744765597,-0.0046518324967380845,-2.2204460492503132e-17
57,RandomForestRegressor(),dim_30_budget_2000_conf_17,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-28233543.222782277,-5174.3059492948005,0.8185512387310698,0.824226326126588
58,DummyRegressor(),dim_30_budget_10000_conf_19,{'strategy': 'mean'},-57804.60802545614,-237.30820827520716,-0.005035343180633145,0.0
59,RandomForestRegressor(),dim_30_budget_10000_conf_19,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-26086.344982353836,-158.3888543423114,0.5558294439310767,0.5679630567305793
60,DummyRegressor(),dim_30_budget_2000_conf_18,{'strategy': 'mean'},-56524158.662836276,-7412.135640417034,-0.003920496908984461,2.2204460492503132e-17
61,RandomForestRegressor(),dim_30_budget_2000_conf_18,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-20509560.918125547,-4414.994485865014,0.6385580520514381,0.6417660954725813
62,DummyRegressor(),dim_30_budget_10000_conf_2,{'strategy': 'mean'},-48984.02730063779,-208.13164475018417,-0.03935339373805151,2.2204460492503132e-17
63,RandomForestRegressor(),dim_30_budget_10000_conf_2,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-24192.42259155326,-144.09294052957836,0.505235344887873,0.5564355676967331
64,DummyRegressor(),dim_30_budget_2000_conf_19,{'strategy': 'mean'},-160377168.01843077,-12611.407710538871,-0.0013127232322053483,-4.4408920985006264e-17
65,RandomForestRegressor(),dim_30_budget_2000_conf_19,"{'criterion': 'absolute_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-26292816.868567586,-5057.235804190581,0.8376419568780555,0.8418586297876287
66,DummyRegressor(),dim_30_budget_10000_conf_270,{'strategy': 'mean'},-34696.62512014283,-185.0123807001351,-0.0031674526141554525,-4.4408920985006264e-17
67,RandomForestRegressor(),dim_30_budget_10000_conf_270,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-14001.439653190182,-116.54798402924557,0.6023256498467532,0.6138014857560382
68,DummyRegressor(),dim_30_budget_2000_conf_2,{'strategy': 'mean'},-43400121.33014202,-6364.117490119917,-0.00519615727077638,-8.881784197001253e-17
69,RandomForestRegressor(),dim_30_budget_2000_conf_2,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-15597458.64225548,-3628.9264096801476,0.6871276587770844,0.6961779950812732
70,DummyRegressor(),dim_30_budget_10000_conf_271,{'strategy': 'mean'},-46913.15871232671,-214.9971370399541,-0.002328479225267799,0.0
71,RandomForestRegressor(),dim_30_budget_10000_conf_271,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-16637.4239509513,-125.45619491563761,0.6607624615476748,0.6665435677083986
72,DummyRegressor(),dim_30_budget_2000_conf_270,{'strategy': 'mean'},-40050173.203226365,-6223.100636969544,-0.00481394974836582,2.2204460492503132e-17
73,RandomForestRegressor(),dim_30_budget_2000_conf_270,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-13121478.695492316,-3427.4920632314142,0.6786973718852163,0.6830013046932433
74,DummyRegressor(),dim_30_budget_10000_conf_272,{'strategy': 'mean'},-32741.570625765686,-178.51211414746354,-0.005196997766596078,0.0
75,RandomForestRegressor(),dim_30_budget_10000_conf_272,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",-15390.44554614055,-119.00219454723644,0.5612114504995681,0.5718655452656746
76,DummyRegressor(),dim_30_budget_2000_conf_271,{'strategy': 'mean'},-152984498.94040504,-12226.3230958069,-0.004567053756723905,4.4408920985006264e-17
77,RandomForestRegressor(),dim_30_budget_2000_conf_271,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",-35580342.25730792,-5684.822346943356,0.7842649714984354,0.7929246069606066
78,DummyRegressor(),dim_30_budget_10000_conf_3,{'strategy': 'mean'},-55590.7568386959,-234.20045822043235,-0.0017516009036828706,-1.3322676295501878e-16
79,RandomForestRegressor(),dim_30_budget_10000_conf_3,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-21224.627283042442,-138.69284115790623,0.6455020122114156,0.6481902659201634
80,DummyRegressor(),dim_30_budget_2000_conf_272,{'strategy': 'mean'},-40322071.809447244,-6276.32547458865,-0.0035831618137204036,0.0
81,RandomForestRegressor(),dim_30_budget_2000_conf_272,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-12094879.366061954,-3376.978677425258,0.6759507565533196,0.6773802301404351
82,DummyRegressor(),dim_30_budget_10000_conf_4,{'strategy': 'mean'},-42038.79162188531,-203.75347824034137,-0.0018419617316339566,-4.4408920985006264e-17
83,RandomForestRegressor(),dim_30_budget_10000_conf_4,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-17581.414820351187,-130.769339385529,0.5888999350789165,0.5955811878936189
84,DummyRegressor(),dim_30_budget_2000_conf_3,{'strategy': 'mean'},-161266717.79929754,-12632.697436072893,-0.0029423532391264383,6.661338147750939e-17
85,RandomForestRegressor(),dim_30_budget_2000_conf_3,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-27548718.690797675,-5037.099329464903,0.8339521099376498,0.8373548923793376
